0it [00:00, ?it/s]0it [00:14, ?it/s]
using 0 images for training, 0 images for validation.
[epoch 1, batch 1] loss: 0.729
[epoch 1, batch 1] loss: 0.751
[epoch 1, batch 2] loss: 0.907
[epoch 1, batch 3] loss: 0.695
[epoch 1, batch 4] loss: 0.673
[epoch 1, batch 5] loss: 0.848
[epoch 1, batch 6] loss: 0.886
[epoch 1, batch 7] loss: 0.826
[epoch 1, batch 8] loss: 0.683
[epoch 1, batch 9] loss: 0.752
[epoch 1, batch 10] loss: 0.799
[epoch 1, batch 11] loss: 0.707
[epoch 1, batch 12] loss: 0.767
[epoch 1, batch 13] loss: 0.711
[epoch 1, batch 14] loss: 0.717
[epoch 1, batch 15] loss: 0.725
[epoch 1, batch 16] loss: 0.687
[epoch 1, batch 17] loss: 0.952
[epoch 1, batch 18] loss: 0.651
[epoch 1, batch 19] loss: 0.931
[epoch 1, batch 20] loss: 0.714
[epoch 1, batch 21] loss: 0.759
[epoch 1, batch 22] loss: 0.733
[epoch 1, batch 23] loss: 0.706
[epoch 1, batch 24] loss: 0.766
[epoch 1, batch 25] loss: 0.690
[epoch 1, batch 26] loss: 0.698
[epoch 1, batch 27] loss: 0.718
[epoch 1, batch 28] loss: 0.732
[epoch 1, batch 29] loss: 0.734
[epoch 1, batch 30] loss: 0.774
[epoch 1, batch 31] loss: 0.770
[epoch 1, batch 32] loss: 0.697
[epoch 1, batch 33] loss: 0.750
[epoch 1, batch 34] loss: 0.657
[epoch 1, batch 35] loss: 0.651
[epoch 1, batch 36] loss: 0.719
[epoch 1, batch 37] loss: 0.730
[epoch 1, batch 38] loss: 0.656
[epoch 1, batch 39] loss: 0.752
[epoch 1, batch 40] loss: 0.784
[epoch 1, batch 41] loss: 0.782
[epoch 1, batch 42] loss: 0.788
[epoch 1, batch 43] loss: 0.785
[epoch 1, batch 44] loss: 0.652
[epoch 1, batch 45] loss: 0.640
[epoch 1, batch 46] loss: 0.850
[epoch 1, batch 47] loss: 0.753
[epoch 1, batch 48] loss: 0.764
[epoch 1, batch 49] loss: 0.772
[epoch 1, batch 50] loss: 0.783
[epoch 1, batch 51] loss: 0.748
[epoch 1, batch 52] loss: 0.727
[epoch 1, batch 53] loss: 0.653
[epoch 1, batch 54] loss: 0.710
[epoch 1, batch 55] loss: 0.696
[epoch 1, batch 56] loss: 0.716
[epoch 1, batch 57] loss: 0.746
[epoch 1, batch 58] loss: 0.732
[epoch 1, batch 59] loss: 0.794
[epoch 1, batch 60] loss: 0.680
[epoch 1, batch 61] loss: 0.713
[epoch 1, batch 62] loss: 0.664
[epoch 1, batch 63] loss: 0.744
[epoch 1, batch 64] loss: 0.726
[epoch 1, batch 65] loss: 0.818
[epoch 1, batch 66] loss: 0.766
[epoch 1, batch 67] loss: 0.659
[epoch 1, batch 68] loss: 0.759
[epoch 1, batch 69] loss: 0.680
[epoch 1, batch 70] loss: 0.709
[epoch 1, batch 71] loss: 0.722
[epoch 1, batch 72] loss: 0.686
[epoch 1, batch 73] loss: 0.849
[epoch 1, batch 74] loss: 0.774
[epoch 1, batch 75] loss: 0.738
[epoch 1, batch 76] loss: 0.688
[epoch 1, batch 77] loss: 0.698
[epoch 1, batch 78] loss: 0.628
[epoch 1, batch 79] loss: 0.847
[epoch 1, batch 80] loss: 0.724
[epoch 1, batch 81] loss: 0.749
[epoch 1, batch 82] loss: 0.658
[epoch 1, batch 83] loss: 0.813
[epoch 1, batch 84] loss: 0.747
[epoch 1, batch 85] loss: 0.710
[epoch 1, batch 86] loss: 0.731
[epoch 1, batch 87] loss: 0.777
[epoch 1, batch 88] loss: 0.759
[epoch 1, batch 89] loss: 0.733
[epoch 1, batch 90] loss: 0.695
[epoch 1, batch 91] loss: 0.716
[epoch 1, batch 92] loss: 0.720
[epoch 1, batch 93] loss: 0.652
[epoch 1, batch 94] loss: 0.669
[epoch 1, batch 95] loss: 0.679
[epoch 1, batch 96] loss: 0.753
[epoch 1, batch 97] loss: 0.754
[epoch 1, batch 98] loss: 0.741
[epoch 1, batch 99] loss: 0.756
[epoch 1, batch 100] loss: 0.796
[epoch 1, batch 101] loss: 0.723
[epoch 1, batch 102] loss: 0.707
[epoch 1, batch 103] loss: 0.691
[epoch 1, batch 104] loss: 0.688
[epoch 1, batch 105] loss: 0.769
[epoch 1, batch 106] loss: 0.725
[epoch 1, batch 107] loss: 0.696
[epoch 1, batch 108] loss: 0.704
[epoch 1, batch 109] loss: 0.678
[epoch 1, batch 110] loss: 0.713
[epoch 1, batch 111] loss: 0.722
[epoch 1, batch 112] loss: 0.747
[epoch 1, batch 113] loss: 0.715
[epoch 1, batch 114] loss: 0.648
[epoch 1, batch 115] loss: 0.744
[epoch 1, batch 116] loss: 0.748
[epoch 1, batch 117] loss: 0.681
[epoch 1, batch 118] loss: 0.683
[epoch 1, batch 119] loss: 0.747
[epoch 1, batch 120] loss: 0.669
[epoch 1, batch 121] loss: 0.743
[epoch 1, batch 122] loss: 0.679
[epoch 1, batch 123] loss: 0.768
[epoch 1, batch 124] loss: 0.748
[epoch 1, batch 125] loss: 0.665
[epoch 1, batch 126] loss: 0.699
[epoch 1, batch 127] loss: 0.677
[epoch 1, batch 128] loss: 0.695
[epoch 1, batch 129] loss: 0.691
[epoch 1, batch 130] loss: 0.700
[epoch 1, batch 131] loss: 0.667
[epoch 1, batch 132] loss: 0.703
[epoch 1, batch 133] loss: 0.706
[epoch 1, batch 134] loss: 0.685
[epoch 1, batch 135] loss: 0.688
[epoch 1, batch 136] loss: 0.655
[epoch 1, batch 137] loss: 0.754
[epoch 1, batch 138] loss: 0.637
[epoch 1, batch 139] loss: 0.723
[epoch 1, batch 140] loss: 0.673
[epoch 1, batch 141] loss: 0.709
[epoch 1, batch 142] loss: 0.679
[epoch 1, batch 143] loss: 0.712
[epoch 1, batch 144] loss: 0.724
[epoch 1, batch 145] loss: 0.730
[epoch 1, batch 146] loss: 0.672
[epoch 1, batch 147] loss: 0.673
[epoch 1, batch 148] loss: 0.686
[epoch 1, batch 149] loss: 0.756
[epoch 1, batch 150] loss: 0.751
[epoch 1, batch 151] loss: 0.693
[epoch 1, batch 152] loss: 0.695
[epoch 1, batch 153] loss: 0.682
[epoch 1, batch 154] loss: 0.739
[epoch 1, batch 155] loss: 0.677
[epoch 1, batch 156] loss: 0.680
[epoch 1, batch 157] loss: 0.670
[epoch 1, batch 158] loss: 0.711
[epoch 1, batch 159] loss: 0.736
[epoch 1, batch 160] loss: 0.696
[epoch 1, batch 161] loss: 0.695
[epoch 1, batch 162] loss: 0.690
[epoch 1, batch 163] loss: 0.715
[epoch 1, batch 164] loss: 0.685
[epoch 1, batch 165] loss: 0.685
[epoch 1, batch 166] loss: 0.735
[epoch 1, batch 167] loss: 0.729
